#WL (Micrometers)	Transmission (%)
1.8745	-0.03348
1.874	-0.082465
1.8735	-0.047381
1.873	0.027301
1.8725	0.038947
1.872	0.063251
1.8715	0.064005
1.871	0.123273
1.8705	0.174419
1.87	0.001522
1.8695	0.021243
1.869	0.11904
1.8685	0.0424
1.868	-0.015282
1.8675	0.074604
1.867	0.208743
1.8665	0.157724
1.866	0.046117
1.8655	0.031962
1.865	-0.012188
1.8645	-0.045609
1.864	0.073017
1.8635	0.134216
1.863	0.123312
1.8625	0.118941
1.862	0.086914
1.8615	0.035079
1.861	-0.006099
1.8605	-0.018064
1.86	-0.013568
1.8595	0.068622
1.859	0.208425
1.8585	0.131446
1.858	-0.086906
1.8575	-0.057975
1.857	0.048895
1.8565	0.079426
1.856	0.123755
1.8555	0.116338
1.855	0.079664
1.8545	0.104946
1.854	0.140121
1.8535	0.119324
1.853	0.083867
1.8525	-0.028779
1.852	-0.09275
1.8515	0.070336
1.851	0.192243
1.8505	0.123357
1.85	0.068356
1.8495	0.031931
1.849	0.041271
1.8485	0.085034
1.848	0.099955
1.8475	0.053405
1.847	0.150793
1.8465	0.191305
1.846	-0.037996
1.8455	-0.024807
1.845	0.106232
1.8445	0.076339
1.844	0.064118
1.8435	0.10063
1.843	0.095675
1.8425	0.115426
1.842	0.028891
1.8415	-0.001521
1.841	-0.024386
1.8405	-0.021401
1.84	0.04745
1.8395	0.004584
1.839	0.013591
1.8385	0.090554
1.838	0.16821
1.8375	0.140464
1.837	0.01365
1.8365	-0.121706
1.836	-0.070043
1.8355	0.006076
1.835	-0.047004
1.8345	-0.021257
1.834	0.066262
1.8335	0.087539
1.833	0.06697
1.8325	0.098735
1.832	0.12003
1.8315	0.079152
1.831	0.149136
1.8305	0.161932
1.83	0.087683
1.8295	0.106098
1.829	0.057753
1.8285	-0.025893
1.828	-0.076318
1.8275	0.009183
1.827	0.065518
1.8265	0.126038
1.826	0.177155
1.8255	0.086358
1.825	0.11504
1.8245	0.131224
1.824	0.05507
1.8235	-0.015277
1.823	-0.028967
1.8225	-0.015217
1.822	-0.027424
1.8215	0.074871
1.821	0.109959
1.8205	0.093067
1.82	0.077551
1.8195	-0.004566
1.819	0.051708
1.8185	0.119733
1.818	0.111113
1.8175	0.095825
1.817	0.158047
1.8165	0.208994
1.816	0.125162
1.8155	0.109551
1.815	0.130878
1.8145	0.101858
1.814	0.066657
1.8135	0.019716
1.813	0
1.8125	0.009101
1.812	0.036549
1.8115	0.08682
1.811	0.062286
1.8105	0.094284
1.81	0.137783
1.8095	0.03026
1.809	0.063819
1.8085	0.10638
1.808	0.085042
1.8075	0.101675
1.807	0.110853
1.8065	0.104886
1.806	0.115635
1.8055	0.102097
1.805	0.044236
1.8045	0.092927
1.804	0.124757
1.8035	0.028907
1.803	0.033465
1.8025	0.066899
1.802	0.101914
1.8015	0.077574
1.801	0.057773
1.8005	0.095778
1.8	0.091359
