#MaunaKea 2.5mm N  13800ft		
#T=exp(-b*sqrt(AM)-c*AM) @1AM
#Wavelength	b(sqrt crv gr)	c (lin crv gr)
8.706	0.00583394	0.06185247
8.708	0.00648648	0.04696017
8.71	0.00018474	0.01886589
8.712	0.00612595	0.04952233
8.714	0.00630537	0.0407948
8.716	0.00068756	0.01703008
8.718	0.00610304	0.05084946
8.72	0.00479759	0.04467765
8.722	0.00244635	0.02168884
8.724	0.00804541	0.03916141
8.726	0.00290125	0.03672691
8.728	0.00231903	0.01690715
8.73	0.00960835	0.03874369
8.732	0.00288885	0.03460969
8.734	0.00611113	0.02488224
8.736	0.00609471	0.03432272
8.738	0.00682213	0.03543326
8.74	0.00055156	0.01850568
8.742	0.00606227	0.03624737
8.744	0.00361255	0.04531121
8.746	0.00778077	0.03497876
8.748	0.004629	0.03373355
8.75	0.00143994	0.03005959
8.752	0.00034006	0.01941639
8.754	0.0015786	0.0229542
8.756	0.00810555	0.03776293
8.758	0.00375782	0.020457
8.76	0.00484196	0.0398943
8.762	0.00697904	0.03695273
8.764	0.00172167	0.0178263
8.766	0.00079711	0.01845186
8.768	0.0063862	0.04166275
8.77	0.00038731	0.02102138
8.772	0.00539534	0.03074215
8.774	0.00154051	0.02816948
8.776	0.00094507	0.02003605
8.778	0.00311417	0.01976251
8.78	0.01432093	0.03659182
8.782	0.00526404	0.02686691
8.784	0.0081722	0.03452646
8.786	0.00443163	0.03435449
8.788	0.00333948	0.03848871
8.79	0.04626434	0.11351789
8.792	0.1495231	0.32308378
8.794	0.01387362	0.10482828
8.796	0.0056609	0.05906859
8.798	0.00617636	0.05620385
8.8	0.00461619	0.05917925
8.802	0.01734462	0.13181172
8.804	0.72933758	0.16847287
8.806	0.44453563	0.31313636
8.808	0.02937739	0.14121586
8.81	0.00845756	0.05835681
8.812	-0.0006642	0.02441429
8.814	0.01845729	0.04290662
8.816	0.00666339	0.03704556
8.818	0.00756143	0.03074694
8.82	0.0140694	0.03523698
8.822	0.01312737	0.03652391
8.824	0.00027285	0.01723606
8.826	0.00181693	0.01756783
8.828	0.02183127	0.04537878
8.83	0.0083937	0.02282378
8.832	0.00103578	0.01254839
8.834	0.01414356	0.02789411
8.836	0.0139496	0.03552001
8.838	0.00420968	0.02252077
8.84	0.01278212	0.04924387
8.842	0.0088726	0.03197068
8.844	0.00730643	0.02973548
8.846	0.01704408	0.03357183
8.848	0.02253546	0.02820944
8.85	0.01298359	0.02778227
8.852	0.00025099	0.01353021
8.854	0.01948775	0.02838977
8.856	0.01098462	0.03282185
8.858	0.01859825	0.03116971
8.86	0.01397937	0.017633
8.862	0.00018079	0.01327051
8.864	0.00563135	0.0136033
8.866	0.0309031	0.03438297
8.868	0.02127948	0.02018209
8.87	0.00251872	0.02003199
8.872	0.03956138	0.02971683
8.874	0.01027685	0.01809278
8.876	0.00285919	0.01469436
8.878	0.00132174	0.01312776
8.88	0.03272052	0.03443817
8.882	0.02456493	0.02875928
8.884	0.02166264	0.01927889
8.886	0.01775497	0.01989697
8.888	0.00920535	0.03576748
8.89	0.00231903	0.04295757
8.892	0.00246737	0.03072176
8.894	0.03788429	0.0326735
8.896	0.0258465	0.028591
8.898	0.03015297	0.04132138
8.9	0.00823402	0.0230964
8.902	0.00983047	0.01784804
8.904	0.00046152	0.01462934
8.906	-9.27E-05	0.01412759
8.908	0.04420037	0.03123261
8.91	0.04112805	0.04007682
8.912	0.00042636	0.01904317
8.914	-0.0006293	0.01893919
8.916	0.02037034	0.05858171
8.918	0.22958665	0.17183811
8.92	0.15300245	0.1302452
8.922	0.05932046	0.15362945
8.924	0.01196821	0.03923656
8.926	0.00585389	0.02503744
8.928	0.0004234	0.01881725
8.93	-0.0003628	0.01502263
8.932	0.01700325	0.02167314
8.934	0.02815765	0.03786597
8.936	0.02197062	0.03465456
8.938	0.02580983	0.04752185
8.94	0.0006631	0.02105843
8.942	-0.0004112	0.01732109
8.944	0.02966805	0.03170548
8.946	0.00305443	0.0254791
8.948	0.00047362	0.02858935
8.95	0.00139264	0.01370582
8.952	0.04132362	0.03404454
8.954	0.01858898	0.02592461
8.956	0.01192939	0.0235091
8.958	0.00360968	0.02236095
8.96	0.00392581	0.02138784
8.962	-0.0001788	0.01267362
8.964	0.00576904	0.01643331
8.966	0.02696293	0.02901863
8.968	0.01961583	0.02589455
8.97	0.00368684	0.01687893
8.972	0.01341482	0.0225641
8.974	0.00220997	0.01760994
8.976	0.01532488	0.02521297
8.978	-0.0004644	0.01524344
8.98	0.00499592	0.03103179
8.982	0.01347844	0.02410659
8.984	0.00964392	0.01630535
8.986	0.00641125	0.02819127
8.988	8.49E-06	0.01698665
8.99	0.00911538	0.0248643
8.992	0.0024787	0.02103028
8.994	0.00236269	0.04434879
8.996	0.1734517	0.16873789
8.998	0.11190565	0.12215706
9	0.01677874	0.05332206
9.002	0.00677337	0.03719067
9.004	0.00314552	0.0300589
9.006	-0.0001561	0.02172195
9.008	0.00430964	0.02365315
9.01	0.00473949	0.02056022
9.012	-0.0008607	0.01071439
9.014	0.00784384	0.02079015
9.016	0.00619488	0.01502222
9.018	-0.000784	0.01162862
9.02	0.00789929	0.0316819
9.022	0.00454131	0.02319131
9.024	-0.0004434	0.0184395
9.026	0.00086624	0.02255263
9.028	0.00612887	0.03504011
9.03	0.00215236	0.02665883
9.032	0.00263056	0.03876152
9.034	0.08915561	0.08055488
9.036	0.24241191	0.1813856
9.038	0.00345038	0.05417791
9.04	0.00636714	0.03869447
9.042	-0.0001802	0.01587359
9.044	0.00115473	0.01979388
9.046	0.00628386	0.03068123
9.048	0.0029965	0.03051352
9.05	0.00096835	0.01780022
9.052	0.00136345	0.01598701
9.054	0.00201129	0.01856925
9.056	0.00553388	0.02440584
9.058	0.00779966	0.03631625
9.06	0.00061176	0.01818886
9.062	0.00175762	0.01776895
9.064	0.00942087	0.03315619
9.066	-3.29E-05	0.01257784
9.068	-0.000858	0.01418673
9.07	0.00021762	0.02145943
9.072	0.00704999	0.04040153
9.074	0.00691391	0.03901123
9.076	0.01231439	0.05189072
9.078	0.0564153	0.13458907
9.08	0.05118911	0.12595086
9.082	0.00337877	0.04067822
9.084	0.003787	0.02634893
