#MtLemmon 5.7mm N  9100ft STD			
#T=exp(-b*sqrt(AM)-c*AM) @1AM
#Wave  b (sqrt crv gr)  c (lin crv gr)
9.592	0.30947969	0.06978462
9.596	0.47404691	0.05311299
9.6	0.67024374	0.05773085
9.604	0.82799243	0.10534766
9.608	0.90360008	0.20098709
9.612	0.90800357	0.32539639
9.616	0.87348962	0.40912362
9.62	0.853424	0.41080233
9.624	0.82209809	0.39256846
9.628	0.79446146	0.38402683
9.632	0.75819956	0.37027895
9.636	0.73507276	0.34702993
9.64	0.70305011	0.33164488
9.644	0.67997648	0.31843997
9.648	0.66668436	0.29800237
9.652	0.65821739	0.27427331
9.656	0.64207794	0.26014607
9.66	0.63394008	0.2400386
9.664	0.63295363	0.22114007
9.668	0.6044937	0.21448285
9.672	0.57775338	0.21401041
9.676	0.55677635	0.2098663
9.68	0.54490301	0.21084104
9.684	0.52660454	0.21115351
9.688	0.52459002	0.20439143
9.692	0.53129229	0.19456949
9.696	0.54130709	0.1846607
9.7	0.54832247	0.17323725
9.704	0.55636095	0.16693206
9.708	0.56898468	0.16768287
9.712	0.57615842	0.17205546
9.716	0.58680564	0.17502748
9.72	0.59385587	0.18165733
9.724	0.60008818	0.1816631
9.728	0.605829	0.17119293
9.732	0.61017564	0.15744822
9.736	0.61047933	0.14819585
9.74	0.60436885	0.14059543
9.744	0.5996781	0.13810352
9.748	0.59377642	0.14034823
9.752	0.58779059	0.14555957
9.756	0.57489806	0.15444642
9.76	0.56735673	0.16046601
9.764	0.5575591	0.16603487
9.768	0.54320668	0.17454848
9.772	0.52837427	0.18141836
9.776	0.51772842	0.1863896
9.78	0.50773066	0.18916245
9.784	0.49870885	0.19222405
9.788	0.49399803	0.19249881
9.792	0.49048642	0.1925259
9.796	0.48490216	0.18901989
9.8	0.47795655	0.1886183
9.804	0.47097679	0.18548113
9.808	0.46518748	0.18215507
9.812	0.46211307	0.18059539
9.816	0.45530956	0.18017712
9.82	0.44678146	0.17742213
9.824	0.43979712	0.1752895
9.828	0.42595137	0.16951053
9.832	0.41245271	0.15983185
9.836	0.40306406	0.14966765
9.84	0.39314029	0.14414019
9.844	0.38684523	0.14194656
9.848	0.38270671	0.14251761
9.852	0.37353313	0.14788283
9.856	0.36614864	0.15368789
9.86	0.35538242	0.15478405
9.864	0.33708659	0.15286276
9.868	0.32441804	0.15086304
9.872	0.31193669	0.1465096
9.876	0.30066574	0.14487139
9.88	0.2942426	0.14420049
9.884	0.28638579	0.14648064
9.888	0.27802142	0.15056196
9.892	0.27189007	0.1541185
9.896	0.26019971	0.15174141
9.9	0.25154769	0.14816721
9.904	0.24702939	0.13877369
9.908	0.23157054	0.12847097
9.912	0.21936673	0.12148246
9.916	0.21212122	0.117597
9.92	0.19838112	0.11607284
9.924	0.18690806	0.11736688
9.928	0.18537426	0.11797907
9.932	0.17255285	0.11791698
9.936	0.16121517	0.11958013
9.94	0.15587478	0.12029662
9.944	0.14664185	0.12011716
9.948	0.13526921	0.12060264
9.952	0.13356388	0.12113532
9.956	0.12556389	0.11877812
9.96	0.11670046	0.11541971
9.964	0.11382782	0.11249076
9.968	0.11067891	0.10693802
9.972	0.10282239	0.09947295
9.976	0.10143267	0.09402753
9.98	0.09724409	0.0912819
9.984	0.08745769	0.08950782
9.988	0.0820717	0.0915405
9.992	0.07923961	0.09528073
9.996	0.07160448	0.09783532
10	0.06720898	0.09744267
10.004	0.06645096	0.09637293
10.008	0.05973567	0.09159956
10.012	0.05468272	0.08711025
10.016	0.05395021	0.08234062
10.02	0.05101867	0.07800749
10.024	0.04570333	0.07262563
10.028	0.04561283	0.07031651
10.032	0.04245029	0.06701095
10.036	0.03669975	0.06431173
10.04	0.03417021	0.06416998
10.044	0.03375254	0.06540473
10.048	0.02939768	0.06367133
10.052	0.02689019	0.0631994
10.056	0.02630115	0.06350306
10.06	0.02273155	0.06062639
10.064	0.01885891	0.05824405
10.068	0.01799704	0.05855534
10.072	0.0167413	0.05791398
10.076	0.01400539	0.05566519
10.08	0.01308713	0.05529843
10.084	0.01250724	0.05438834
10.088	0.01059489	0.05151185
10.092	0.00914574	0.04953501
10.096	0.00919116	0.04933634
10.1	0.00871875	0.04821257
10.104	0.00747273	0.04657574
10.108	0.00693717	0.0459178
10.112	0.00644512	0.0449675
10.116	0.0050399	0.04270051
10.12	0.00405225	0.0414037
10.124	0.00385879	0.0410425
10.128	0.00358426	0.04036699
10.132	0.00296093	0.0394467
10.136	0.00276326	0.03899798
10.14	0.00257099	0.03837287
10.144	0.00197384	0.03797251
10.148	0.00146154	0.03810615
10.152	0.00129494	0.03858468
10.156	0.00126195	0.03976367
10.16	0.0010436	0.0399182
10.164	0.00102338	0.0390265
10.168	0.00109455	0.0384404
10.172	0.00098731	0.0374862
10.176	0.00068758	0.03605433
10.18	0.00061076	0.03636576
10.184	0.0005494	0.0368614
10.188	0.00034286	0.03607202
